geoId,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
PY,0.19402806577750106,0.18734979032685453,0.185213802115098,0.15550246546456864,0.1020168159124462,0.07688211616354924,0.05638420027676013,0.029964823141297683,0.012657920821924335
PE,0.16515302176287006,0.15572691926317986,0.1630416750096431,0.15865541771607208,0.13182956149922573,0.10050632287922248,0.06904796898541866,0.03807518086794413,0.01796393201642395
SR,0.17869915483930354,0.17426708987204967,0.1632568177091679,0.1411203578381069,0.12396826641483447,0.1105084260373589,0.06294895965798095,0.03185120535120705,0.01337972227999059
UY,0.136185140628495,0.13787180167007942,0.14726545868457713,0.1327525162455196,0.1309889925143801,0.11258138592929151,0.09440033715948319,0.06340912800574139,0.04454523916243274
VE,0.17916054340100485,0.18141012591001465,0.14525064282200875,0.1416489335345763,0.12536858721372454,0.10602718538295003,0.07183004270334907,0.0348101696504315,0.014493769381940315
AU,0.12976429184120505,0.12276449446960162,0.13237136283106574,0.14581809224913636,0.12965001679811758,0.12187252952278481,0.10396860283387202,0.07240723986123698,0.04138336959297967
NZ,0.12759317104752094,0.12959825873200237,0.13919588705066716,0.12837745500891393,0.1227385736027272,0.1303734182898255,0.10831330630436148,0.07503411801130305,0.03877581195267836
FJ,0.19760297352651138,0.1764025415976904,0.15834229466648223,0.15054370378963994,0.11882839307307538,0.10199967873062903,0.063717309725984,0.026363052237507303,0.006200052652480243
NC,0.14471209250028896,0.15132876342861948,0.1512902333173375,0.14533207701818973,0.14299224844215755,0.1224241744923658,0.07984489878840315,0.04659691548945501,0.01547859652318287
PG,0.24034218293965134,0.21435980912989308,0.1737095461989776,0.1364181643801902,0.10488221394659925,0.07031598317519329,0.04158766928947459,0.015273788712161035,0.003110642227859601
GU,0.15985022188253556,0.16092260476469786,0.1601523850150785,0.12936729409952424,0.11811616098777719,0.11946700793326342,0.08490784024457439,0.0461006143983695,0.02111587067417927
PF,0.14109446643693221,0.15711417423746193,0.14375017799675335,0.15438370404123833,0.14093070942386013,0.12690812519579647,0.08202802380884575,0.038529177227807375,0.015261441631304648
BY,0.12104996750560176,0.0983015605036595,0.11406131720998793,0.16195322394064085,0.13603104392368512,0.1424219793147042,0.1315704059582694,0.05561902278481175,0.03899147885863969
BG,0.09345716919397075,0.0987099991436933,0.09929084852798,0.1378137122766317,0.15283779320409102,0.13595905270891545,0.13277675796527136,0.10223409698141095,0.04692056999803553
CZ,0.10399177064636023,0.09910661909787505,0.10321606666254551,0.13803459563196577,0.16792950067522758,0.12618099460807758,0.12369214926311389,0.09628356831676436,0.04156473509807001
HU,0.09405104369924486,0.10032835249240452,0.1192182477860533,0.13013420838789483,0.16440532692914853,0.12436278188678462,0.13523650799401676,0.08763409193248692,0.044629438891965606
PL,0.10000556192556773,0.09800445773141346,0.11709261636545738,0.15866477323395325,0.14625990891389076,0.12057007491160703,0.13671363653358082,0.07663900104117663,0.04604996934335327
MD,0.10512193592256547,0.10393898010467621,0.1415067515492829,0.19184013338744058,0.13951739269794988,0.12915710927442814,0.12104449148393279,0.04585788218682224,0.022015323392901718
RO,0.09902684741332142,0.10787713405388445,0.10844674529914779,0.1344184813950038,0.1573197852007326,0.13354821022615926,0.13182191076866748,0.07954539429438535,0.047995491348697836
RU,0.12760938711802544,0.10454033269455344,0.10695064757151944,0.16766810936909624,0.13961964158431123,0.1294941989712368,0.12677861692159617,0.05858601183024216,0.03875305393941911
